No,Krusta,Kutuan,Gatal,Kulit Keropeng,Bulu Rontok,Kulit Kemerahan,Pioderma,Nanah,Luka,Bulatan Cincin,Ketombe,Benjolan Lunak,Kulit Bersisik,Kotoran Kulit Merah Kecokelatan,Penyakit
112,0,8,8,0,8,0,0,0,0,0,0,0,0,8,Cat Flea
113,0,8,8,0,5,0,0,0,0,0,0,0,0,8,Cat Flea
114,0,8,5,0,5,0,0,0,0,0,0,0,0,5,Cat Flea
115,0,8,8,0,5,0,0,0,0,0,0,0,0,5,Cat Flea
116,0,8,5,0,8,0,0,0,0,0,0,0,0,8,Cat Flea
117,0,8,8,0,8,0,0,0,0,0,0,0,0,5,Cat Flea
118,0,8,8,0,8,0,0,0,0,0,0,0,0,5,Cat Flea
119,0,8,8,0,8,0,0,0,0,0,0,0,0,8,Cat Flea
120,0,8,8,0,5,0,0,0,0,0,0,0,0,5,Cat Flea
121,0,8,5,0,8,0,0,0,0,0,0,0,0,5,Cat Flea
122,0,8,5,0,8,0,0,0,0,0,0,0,0,8,Cat Flea
123,0,8,5,0,8,0,0,0,0,0,0,0,0,8,Cat Flea
124,0,8,8,0,8,0,0,0,0,0,0,0,0,5,Cat Flea
125,0,8,8,0,5,0,0,0,0,0,0,0,0,5,Cat Flea
126,0,8,8,0,8,0,0,0,0,0,0,0,0,5,Cat Flea
127,0,8,8,0,8,0,0,0,0,0,0,0,0,5,Cat Flea
128,0,8,8,0,8,0,0,0,0,0,0,0,0,8,Cat Flea
129,0,8,8,0,8,0,0,0,0,0,0,0,0,8,Cat Flea
130,0,8,5,0,5,0,0,0,0,0,0,0,0,5,Cat Flea
131,0,8,8,0,5,0,0,0,0,0,0,0,0,5,Cat Flea
132,0,8,8,0,5,0,0,0,0,0,0,0,0,5,Cat Flea
133,0,8,8,0,8,0,0,0,0,0,0,0,0,8,Cat Flea
134,0,8,8,0,8,0,0,0,0,0,0,0,0,8,Cat Flea
135,0,8,5,0,5,0,0,0,0,0,0,0,0,5,Cat Flea
136,0,8,8,0,5,0,0,0,0,0,0,0,0,5,Cat Flea
137,0,8,8,0,5,0,0,0,0,0,0,0,0,8,Cat Flea
138,0,8,8,0,5,0,0,0,0,0,0,0,0,5,Cat Flea
139,0,5,8,0,8,0,0,0,0,0,0,0,0,5,Cat Flea
140,0,8,5,0,5,0,0,0,0,0,0,0,0,8,Cat Flea
141,0,8,5,0,5,0,0,0,0,0,0,0,0,8,Cat Flea
142,0,8,8,0,8,0,0,0,0,0,0,0,0,5,Cat Flea
143,0,8,5,0,8,0,0,0,0,0,0,0,0,5,Cat Flea
144,0,8,8,0,5,0,0,0,0,0,0,0,0,8,Cat Flea
145,0,8,5,0,5,0,0,0,0,0,0,0,0,5,Cat Flea
146,0,8,5,0,6,0,0,0,0,0,0,0,0,5,Cat Flea
147,0,8,8,0,8,0,0,0,0,0,0,0,0,5,Cat Flea
148,0,8,6,0,5,0,0,0,0,0,0,0,0,8,Cat Flea
149,0,0,0,0,0,0,0,0,0,0,0,8,0,0,Abses
150,0,0,0,0,0,0,0,0,0,0,0,8,0,0,Abses
151,0,0,0,0,0,5,0,5,0,0,0,8,0,0,Abses
152,0,0,0,0,0,5,0,7,0,0,0,8,0,0,Abses
153,8,0,0,0,0,8,0,8,0,0,0,8,0,0,Abses
154,8,0,0,0,0,6,0,8,0,0,0,8,0,0,Abses
155,0,0,0,0,0,5,0,0,0,0,0,8,0,0,Abses
156,0,0,0,0,0,5,0,0,0,0,0,8,0,0,Abses
157,0,0,0,0,0,5,0,0,0,0,0,8,0,0,Abses
158,0,0,5,0,5,8,0,0,6,0,0,0,0,0,Dermatitis
159,0,0,5,0,5,8,0,0,6,0,0,0,0,0,Dermatitis
160,0,0,5,0,5,8,5,0,8,0,0,0,0,0,Dermatitis
161,0,0,5,0,5,8,5,0,8,0,0,0,0,0,Dermatitis
162,0,0,5,0,5,8,5,0,8,0,0,0,0,0,Dermatitis
163,0,0,5,0,5,8,0,0,6,0,0,0,0,0,Dermatitis
164,0,0,5,0,5,8,5,0,8,0,0,0,0,0,Dermatitis
165,0,0,5,0,5,9,6,8,8,0,0,0,0,0,Dermatitis
166,0,0,5,0,5,8,0,0,8,0,0,0,0,0,Dermatitis
167,0,0,5,0,5,8,6,0,8,0,0,0,0,0,Dermatitis
168,0,0,5,5,5,8,0,0,0,5,5,0,5,0,Jamur
169,0,0,5,5,5,8,5,0,0,5,5,0,5,0,Jamur
170,0,0,5,5,5,8,5,0,0,5,8,0,5,0,Jamur
171,0,0,5,5,8,8,0,0,0,5,8,0,5,0,Jamur
172,0,0,8,8,8,8,0,0,0,8,9,0,5,0,Jamur
173,0,0,5,5,8,8,0,0,0,8,8,0,8,0,Jamur
174,0,0,9,8,9,8,8,0,0,9,9,0,8,0,Jamur
175,0,0,8,8,5,8,0,0,0,5,5,0,0,0,Jamur
176,0,0,8,8,8,8,0,0,0,5,5,0,0,0,Jamur
177,0,0,8,8,8,8,0,0,0,5,5,0,0,0,Jamur
178,0,0,6,8,5,8,0,0,0,5,0,0,0,0,Jamur
179,0,0,8,8,8,5,0,0,0,5,5,0,0,0,Jamur
180,0,0,8,8,8,5,0,0,0,5,5,0,0,0,Jamur
181,0,0,8,8,8,5,0,0,0,5,5,0,0,0,Jamur
182,0,0,8,8,5,5,0,0,0,5,5,0,0,0,Jamur
183,0,0,8,8,8,8,0,0,0,5,5,0,5,0,Jamur
184,0,0,8,8,8,5,5,0,0,0,5,0,5,0,Jamur
185,0,0,8,8,8,5,0,0,0,5,5,0,0,0,Jamur
186,0,0,8,8,8,5,0,0,0,5,5,0,0,0,Jamur
187,0,0,8,8,8,5,0,0,0,5,5,0,0,0,Jamur
188,0,0,8,6,5,0,0,0,0,0,0,0,5,0,Jamur
189,0,0,8,8,8,5,0,0,0,5,5,0,0,0,Jamur
190,0,0,8,8,8,5,0,0,0,5,5,0,5,0,Jamur
191,0,0,8,9,8,5,0,0,0,5,5,0,0,0,Jamur
192,0,0,7,8,6,5,0,0,0,0,5,0,0,0,Jamur
193,0,0,8,8,8,5,0,0,0,5,5,0,0,0,Jamur
194,0,0,8,8,8,5,0,0,0,5,5,0,0,0,Jamur
195,0,0,8,9,8,5,0,0,0,5,5,0,0,0,Jamur
196,0,0,8,8,8,5,0,0,0,0,0,0,0,0,Jamur
197,0,0,8,8,8,5,0,0,0,0,0,0,0,0,Jamur
198,0,0,8,8,8,5,0,0,0,0,5,0,0,0,Jamur
199,0,0,8,8,5,5,0,0,0,5,5,0,0,0,Jamur
200,0,0,8,9,8,5,0,0,0,5,5,0,0,0,Jamur
201,0,0,8,8,8,5,0,0,0,5,5,0,0,0,Jamur
202,0,0,8,8,8,5,0,0,0,0,0,0,0,0,Jamur
203,0,0,8,8,8,5,0,0,0,5,5,0,0,0,Jamur
204,0,0,8,8,8,5,0,0,0,0,0,0,0,0,Jamur
205,0,0,8,8,5,5,0,0,0,5,5,0,0,0,Jamur
206,0,0,8,8,8,5,0,0,0,5,5,0,0,0,Jamur
207,0,0,8,8,8,5,0,0,0,5,5,0,0,0,Jamur
208,0,0,8,9,8,8,5,0,0,8,8,0,5,0,Jamur
209,0,0,8,8,8,5,0,0,0,5,5,0,0,0,Jamur
210,0,0,8,8,8,5,0,0,0,5,5,0,0,0,Jamur
211,0,0,5,8,5,5,0,0,0,8,5,0,5,0,Jamur
212,0,0,8,8,5,5,0,0,0,8,5,0,5,0,Jamur
213,0,0,8,8,8,5,0,0,0,8,5,0,5,0,Jamur
214,0,0,8,8,5,5,0,0,0,8,5,0,0,0,Jamur
215,0,0,8,8,5,5,0,0,0,7,5,0,5,0,Jamur
216,0,0,8,8,5,5,0,0,0,6,5,0,0,0,Jamur
217,0,0,8,8,5,5,0,0,0,8,5,0,5,0,Jamur
218,0,0,5,8,8,5,0,0,0,8,5,0,5,0,Jamur
219,0,0,8,8,5,5,0,0,0,8,5,0,5,0,Jamur
220,0,0,8,8,5,5,0,0,0,8,5,0,5,0,Jamur
221,0,0,8,8,5,5,0,0,0,8,5,0,5,0,Jamur
222,0,0,8,8,5,5,0,0,0,8,5,0,5,0,Jamur
223,0,0,5,8,5,5,0,0,0,8,5,0,5,0,Jamur
224,0,0,8,8,5,5,0,0,0,8,5,0,5,0,Jamur
225,0,0,8,8,5,5,0,0,0,8,5,0,5,0,Jamur
226,0,0,8,8,5,5,0,0,0,7,5,0,5,0,Jamur
227,0,0,5,8,8,5,0,0,0,8,5,0,5,0,Jamur
228,0,0,8,8,8,5,0,0,0,8,5,0,5,0,Jamur
229,0,0,8,8,8,5,0,0,0,8,5,0,5,0,Jamur
230,0,0,8,8,8,5,0,0,0,8,5,0,5,0,Jamur
231,0,0,5,8,5,5,0,0,0,8,5,0,5,0,Jamur
232,0,0,8,8,5,5,0,0,0,8,5,0,5,0,Jamur
233,0,0,8,8,5,5,0,0,0,8,5,0,5,0,Jamur
234,0,0,8,8,8,5,0,0,0,8,5,0,5,0,Jamur
235,0,0,5,8,5,5,0,0,0,8,5,0,5,0,Jamur
236,0,0,8,8,5,5,0,0,0,6,5,0,5,0,Jamur
237,0,0,8,8,8,5,0,0,0,8,5,0,5,0,Jamur
238,0,0,5,8,5,5,0,0,0,8,5,0,5,0,Jamur
239,0,0,5,8,8,5,0,0,0,9,8,0,8,0,Jamur
240,0,0,8,8,5,5,0,0,0,9,8,0,8,0,Jamur
